id,name,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
2QfiRTz5Yc8DdShCxG1tB2,Johnny B. Goode,1950,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,audio_features,spotify:track:2QfiRTz5Yc8DdShCxG1tB2,https://api.spotify.com/v1/tracks/2QfiRTz5Yc8DdShCxG1tB2,https://api.spotify.com/v1/audio-analysis/2QfiRTz5Yc8DdShCxG1tB2,161560,4
3KzgdYUlqV6TOG7JCmx2Wg,Beyond the Sea,1950,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,audio_features,spotify:track:3KzgdYUlqV6TOG7JCmx2Wg,https://api.spotify.com/v1/tracks/3KzgdYUlqV6TOG7JCmx2Wg,https://api.spotify.com/v1/audio-analysis/3KzgdYUlqV6TOG7JCmx2Wg,172480,4
648TTtYB0bH0P8Hfy0FmkL,Unforgettable,1950,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,audio_features,spotify:track:648TTtYB0bH0P8Hfy0FmkL,https://api.spotify.com/v1/tracks/648TTtYB0bH0P8Hfy0FmkL,https://api.spotify.com/v1/audio-analysis/648TTtYB0bH0P8Hfy0FmkL,191973,3
7caj6X6NMX3tlhWnu1du6V,We Belong Together,1950,0.684,0.247,5,-13.71,1,0.0281,0.872,0.000166,0.113,0.768,106.522,audio_features,spotify:track:7caj6X6NMX3tlhWnu1du6V,https://api.spotify.com/v1/tracks/7caj6X6NMX3tlhWnu1du6V,https://api.spotify.com/v1/audio-analysis/7caj6X6NMX3tlhWnu1du6V,116627,3
2xar08Fq5xra2KKZs5Bw9j,I've Got a Woman,1950,0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,audio_features,spotify:track:2xar08Fq5xra2KKZs5Bw9j,https://api.spotify.com/v1/tracks/2xar08Fq5xra2KKZs5Bw9j,https://api.spotify.com/v1/audio-analysis/2xar08Fq5xra2KKZs5Bw9j,171467,4
64VP3skE86iTvdOlbzuIcO,Great Balls Of Fire,1950,0.533,0.729,7,-7.227,0,0.0714,0.563,0.0,0.159,0.884,78.67,audio_features,spotify:track:64VP3skE86iTvdOlbzuIcO,https://api.spotify.com/v1/tracks/64VP3skE86iTvdOlbzuIcO,https://api.spotify.com/v1/audio-analysis/64VP3skE86iTvdOlbzuIcO,111536,4
3HuJDcOWx0gE9Yng2uWY7K,Dream A Little Dream Of Me,1950,0.461,0.185,2,-18.087,1,0.0502,0.604,0.0,0.121,0.405,95.509,audio_features,spotify:track:3HuJDcOWx0gE9Yng2uWY7K,https://api.spotify.com/v1/tracks/3HuJDcOWx0gE9Yng2uWY7K,https://api.spotify.com/v1/audio-analysis/3HuJDcOWx0gE9Yng2uWY7K,196840,4
39lnzOIUCSNaQmgBHoz7rt,Everyday,1950,0.747,0.219,3,-12.562,1,0.0371,0.584,2.57e-05,0.107,0.498,135.562,audio_features,spotify:track:39lnzOIUCSNaQmgBHoz7rt,https://api.spotify.com/v1/tracks/39lnzOIUCSNaQmgBHoz7rt,https://api.spotify.com/v1/audio-analysis/39lnzOIUCSNaQmgBHoz7rt,129120,4
4gphxUgq0JSFv2BCLhNDiE,Jailhouse Rock,1950,0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,audio_features,spotify:track:4gphxUgq0JSFv2BCLhNDiE,https://api.spotify.com/v1/tracks/4gphxUgq0JSFv2BCLhNDiE,https://api.spotify.com/v1/audio-analysis/4gphxUgq0JSFv2BCLhNDiE,146480,4
4fHDlIntTsRGSyTg5UYZYC,Banana Boat (Day-O),1950,0.797,0.105,1,-16.881,1,0.0969,0.885,0.000116,0.108,0.419,122.545,audio_features,spotify:track:4fHDlIntTsRGSyTg5UYZYC,https://api.spotify.com/v1/tracks/4fHDlIntTsRGSyTg5UYZYC,https://api.spotify.com/v1/audio-analysis/4fHDlIntTsRGSyTg5UYZYC,183133,4
